name,iso_country,municipality,iata_code
Loup City Municipal Airport,US,Loup City,
Fountainhead Lodge Airpark,US,Eufaula,
Tishomingo Airpark,US,Tishomingo,
Tecumseh Municipal Airport,US,Tecumseh,
Williams County Airport,US,Bryan,
Finger Lakes Regional Airport,US,Seneca Falls,
Trego Wakeeney Airport,US,Wakeeney,
Cynthiana-Harrison County Airport,US,Cynthiana,
Florala Municipal Airport,US,Florala,
Headland Municipal Airport,US,Headland,
Flying V Airport,US,Utica,
Humboldt Municipal Airport,US,Humboldt,HUD
Jean Airport,US,Jean,
Echo Bay Airport,US,Overton,
Billy Free Municipal Airport,US,Dumas,
Scott Field,US,Parsons,
Reelfoot Lake Airport,US,Tiptonville,
John A Baker Field,US,Hohenwald,
Benton County Airport,US,Camden,
Humphreys County Airport,US,Waverly,
Byerley Airport,US,Lake Providence,
Delhi Municipal Airport,US,Delhi,
Baker Airport,US,Baker,
Shelter Cove Airport,US,Shelter Cove,
Columbia-Marion County Airport,US,Columbia,
Atmore Municipal Airport,US,Atmore,
Abbeville Chris Crusta Memorial Airport,US,Abbeville,
Concordia Parish Airport,US,Vidalia,
David G Joyce Airport,US,Winnfield,
Hampton Municipal Airport,US,Hampton,
Lind Airport,US,Lind,
Dorothy Scott Airport,US,Oroville,
Jefferson County International Airport,US,Port Townsend,TWD
Pioneer Village Field,US,Minden,
Brookneal/Campbell County Airport,US,Brookneal,
Mission Sioux Airport,US,Mission,
Kayenta Airport,US,Kayenta,MVM
Lee County Airport,US,Jonesville,
Harford County Airport,US,Churchville,
Galt Field,US,Greenwood/Wonder Lake,
Holmes County Airport,US,Millersburg,
Owyhee Airport,US,Owyhee,
Sam Riggs Airpark,US,Claremore,
Clayton Municipal Airport,US,Clayton,
Brenham Municipal Airport,US,Brenham,
Easton/Valley View Airport,US,Greeley,
Tower Municipal Airport,US,Tower,
Shelby Community Airport,US,Shelby,
Brewton Municipal Airport,US,Brewton,
Superior Municipal Airport,US,Superior,
Aeroflex-Andover Airport,US,Andover,
Ona Airpark,US,Milton,
Le Sueur Municipal Airport,US,Le Sueur,
Mohawk Valley Airport,US,Scotia,
Lakeview-Airport-Griffith Field,US,Lakeview,
Eureka Municipal Airport,US,Eureka,
Lake Norman Airpark,US,Mooresville,
Hamlin Airport,US,Hamlin,
Fremont Airport,US,Fremont,
Carl Folsom Airport,US,Elba,
Hollandale Municipal Airport,US,Hollandale,
Todd Field,US,Long Prairie,
Haskell Municipal Airport,US,Haskell,
Cook County Airport,US,Adel,
Iuka Airport,US,Iuka,
Perham Municipal Airport,US,Perham,
Seneca County Airport,US,Tiffin,
Dawson Municipal Airport,US,Dawson,
Montezuma Municipal Airport,US,Montezuma,
Port-Bucyrus-Crawford County Airport,US,Bucyrus,
Donalsonville Municipal Airport,US,Donalsonville,
Boise City Airport,US,Boise City,
Magee Municipal Airport,US,Magee,
Cross Keys Airport,US,Cross Keys,
Haxtun Municipal Airport,US,Haxtun,
Franklin County Airport,US,Canon,
Mc Creary County Airport,US,Pine Knot,
Platte Valley Airpark,US,Hudson,
Jackson County Airport,US,Jefferson,
C. A. Moore Airport,US,Lexington,
Camden County Airport,US,Berlin,
Sublette Municipal Airport,US,Sublette,
Dallas Bay Sky Park Airport,US,Chattanooga,
Martin Campbell Field,US,Copperhill,
Logan Field,US,Samson,
Macon County Airport,US,Franklin,
Middlesboro-Bell County Airport,US,Middlesboro,
Jackson County Airport,US,Gainesboro,
Prattville - Grouby Field,US,Prattville,
Dexter Regional Airport,US,Dexter,
Columbia County Airport,US,Hudson,HCC
Katama Airpark,US,Edgartown,
Hopedale Industrial Park Airport,US,Hopedale,
Mansfield Municipal Airport,US,Mansfield,
Bonne Terre Municipal Airport,US,Bonne Terre,
Paxton Airport,US,Paxton,
Howell New Lenox Airport,US,,
Bolingbrook's Clow International Airport,US,Bolingbrook,
Milbank Municipal Airport,US,Milbank,
Platte Municipal Airport,US,Platte,
The Sigurd Anderson Airport,US,Webster,
Redfield Municipal Airport,US,Redfield,
Ardmore Downtown Executive Airport,US,Ardmore,AHD
Madill Municipal Airport,US,Madill,
Hoxie-Sheridan County Airport,US,Hoxie,
Wood County Airport,US,Bowling Green,
Elyria Airport,US,Elyria,
Kent State University Airport,US,Kent,
Grand Canyon West Airport,US,Peach Springs,GCW
Medina Municipal Airport,US,Medina,
Creve Coeur Airport,US,St Louis,
Effingham County Memorial Airport,US,Effingham,
Linn State Technical College Airport,US,Linn,
Willow Springs Memorial Airport,US,Willow Springs,
Casey Municipal Airport,US,Casey,
Freehold Airport,US,Freehold,
Clinton Airport,US,Clinton,
Tri-County Airport,US,Bonifay,
Bob Lee Flight Strip,US,Deland,
Lindsay Municipal Airport,US,Lindsay,
David Jay Perry Airport,US,Goldsby,
Fredonia Airport,US,Fredonia,
Satanta Municipal Airport,US,Satanta,
Port of South Louisiana Executive Regional Airport,US,Reserve,
Lincoln County Airport,US,Panaca,
Searchlight Airport,US,Searchlight,
Escalante Municipal Airport,US,Escalante,
General Dick Stout Field,US,Hurricane,
Parowan Airport,US,Parowan,
Belzoni Municipal Airport,US,Belzoni,
Posey Field,US,Haleyville,
Portland Municipal Airport,US,Portland,
Lake Barkley State Park Airport,US,Cadiz,
Mountain Grove Memorial Airport,US,Mountain Grove,
Sandia Airpark Estates East Airport,US,Edgewood,
Blairstown Airport,US,Blairstown,
Grandfield Municipal Airport,US,Grandfield,
Lampson Field,US,Lakeport,CKE
Lodi Airport,US,Lodi,
Thomas Municipal Airport,US,Thomas,
Montague-Yreka Rohrer Field,US,Montague,ROF
Tipton Municipal Airport,US,Tipton,
Spaulding Airport,US,Susanville,
New Jerusalem Airport,US,Tracy,
Jena Airport,US,Jena,
Woodworth Airport,US,Woodworth,
Brookhaven-Lincoln County Airport,US,Brookhaven,
Bay Minette Municipal Airport,US,Bay Minette,
Tillitt Field,US,Forsyth,
Sunnyside Municipal Airport,US,Sunnyside,
Chewelah Municipal  Airport,US,Chewelah,
Kestrel Airpark,US,San Antonio,
Mud Lake/West Jefferson County/ Airport,US,Mud Lake,
Bear Lake County Airport,US,Paris,
Navajo Lake Airport,US,Navajo Dam,
Grant County Airport,US,Hyannis,
Fremont County Airport,US,CaA+-on City,CNE
Leach Airport,US,Center,
Higgins-Lipscomb County Airport,US,Higgins,
Robbins Field,US,Oneonta,
Macon Municipal Airport,US,Macon,
Kingston-Ulster Airport,US,Kingston,
Crystal City Municipal Airport,US,Crystal City,
Beach Airport,US,Beach,
Mc Elroy Airfield,US,Kremmling,
Rouses Point Seaplane Base,US,Rouses Point,RSX
Lake Elmo Airport,US,St Paul,
Jacksboro Municipal Airport,US,Jacksboro,
Kent County Airport,US,Jayton,
Vinton County Airport,US,Mc Arthur,
Pontotoc County Airport,US,Pontotoc,
Jake Arner Memorial Airport,US,Lehighton,
Paisley Airport,US,Paisley,
Cooperstown-Westville Airport,US,Cooperstown,COP
Clarke County Airport,US,Quitman,
Devine Municipal Airport,US,Devine,
Jackson County Airport,US,Sylva,
Cypress River Airport,US,Jefferson,
Suwannee County Airport,US,Live Oak,
Jicarilla Apache Nation Airport,US,Dulce,
Dilley Airpark,US,Dilley,
Forest Lake Airport,US,Forest Lake,
Cuthbert-Randolph Airport,US,Cuthbert,
Ripley Airport,US,Ripley,
Carrollton Memorial Airport,US,Carrollton,
Ashland/Lineville Airport,US,Ashland/Lineville,
Jackson County Airport,US,Edna,
Mc Dermitt State Airport,US,Mc Dermitt,
Burrello-Mechanicville Airport,US,Mechanicville,
Elbert-County-Patz Field,US,Elberton,
Georgetown-Scott County Regional Airport,US,Georgetown,
Eldorado Airport,US,Eldorado,
Palatka Municipal - Lt. Kay Larkin Field,US,Palatka,
Council Airport,US,Council,CIL
Grove City Airport,US,Grove City,
Waite Field Airport,US,Durand,
Gardiner Airport,US,Gardiner,
Mark Anton Airport,US,Dayton,
Jamestown Municipal Airport,US,Jamestown,
Holley Mountain Airpark,US,Clinton,
Causey Airport,US,Liberty,
Holly Grove Municipal Airport,US,Holly Grove,
Parlin Field,US,Newport,
Pittsfield Municipal Airport,US,Pittsfield,
Cavalier Municipal Airport,US,Cavalier,
Camp Blanding Army Air Field/NG Airfield,US,Camp Blanding Mil Res(Starke),
Oakes Municipal Airport,US,Oakes,
Cluck Ranch Airport,US,Gruver,
Dell City Municipal Airport,US,Dell City,
Mc Lean Gray County Airport,US,Mc Lean,
Iraan Municipal Airport,US,Iraan,IRB
Shamrock Municipal Airport,US,Shamrock,
T Bar Airport,US,Tahoka,
Lamesa Municipal Airport,US,Lamesa,
Commerce Municipal Airport,US,Commerce,
Concord Airpark,US,Painesville,
Jefferson County Airpark,US,Steubenville,
Garrett County Airport,US,Oakland,
Somerset County Airport,US,Somerset,
Grays Creek Airport,US,Fayetteville,
Shelby County Airport,US,Shelbyville,
Jerry Sumners Sr Aurora Municipal Airport,US,Aurora,
Rolette Airport,US,Rolette,
Madisonville Municipal Airport,US,Madisonville,
Rough River State Park Airport,US,Falls-Of-Rough,
Airglades Airport,US,Clewiston,
Liberty County Airport,US,Hinesville,
Louisville Municipal Airport,US,Louisville,
Millen Airport,US,Millen,
Stanton County Municipal Airport,US,Johnson,
Scott Field,US,Mangum,
Neodesha Municipal Airport,US,Neodesha,
Haskell Airport,US,Haskell,
Pineville Municipal Airport,US,Pineville,
Princeton Caldwell County Airport,US,Princeton,
Lawrenceburg Lawrence County Airport,US,Lawrenceburg,
G. V. Montgomery Airport,US,Forest,
Charles W. Baker Airport,US,Millington,
Mount Vernon Municipal Airport,US,Mount Vernon,
Gansner Field,US,Quincy,GNF
Angwin Parrett Field,US,Angwin,
Chowchilla Airport,US,Chowchilla,
Independence Airport,US,Independence,
Hinton Municipal Airport,US,Hinton,
Waynesboro Municipal Airport,US,Waynesboro,
Le Maire Memorial Airport,US,Jeanerette,
Hendricks County Gordon Graham Field,US,Indianapolis,
Peter Prince Field,US,Milton,
St Elmo Airport,US,St Elmo,
Bunkie Municipal Airport,US,Bunkie,
Franklinton Airport,US,Franklinton,
Karnes County Airport,US,Kenedy,
River Ranch Resort Airport,US,River Ranch,
Warden Airport,US,Warden,
Chiloquin State Airport,US,Chiloquin,CHZ
Wilbur Airport,US,Wilbur,
Willapa Harbor Airport,US,South Bend/Raymond/,
Muleshoe Municipal Airport,US,Muleshoe,
Wray Municipal Airport,US,Wray,
Yuma Municipal Airport,US,Yuma,
Maryland Airport,US,Indian Head,
St. Mary's County Regional Airport,US,Leonardtown,LTW
Rockwell City Municipal Airport,US,Rockwell City,
Heber Airpark,US,Gansevoort,
Ingalls Municipal Airport,US,Ingalls,
Sharon Airport,US,Sharon Springs,
Eagles Nest Airport,US,West Creek,
Danville Municipal Airport,US,Danville,
Stevensville Airport,US,Stevensville,
Geneva Municipal Airport,US,Geneva,
Kinsley Municipal Airport,US,Kinsley,
Water Valley Municipal Airport,US,Water Valley,
Delaware Airpark,US,Dover/Cheswold,
Groveton Trinity County Airport,US,Groveton,
Pru Field,US,Ritzville,
Dutch John Airport,US,Dutch John,
Walden Jackson County Airport,US,Walden,
Gardner Municipal Airport,US,Gardner,
Campbell Municipal Airport,US,Campbell,
Hallettsville Municipal Airport,US,Hallettsville,
Union County, Troy Shelton Field,US,Union,
Padgham Field,US,Allegan,
Wasco State Airport,US,Wasco,
Kearny County Airport,US,Lakin,
Happy Camp Airport,US,Happy Camp,
Heber City Municipal Airport - Russ McDonald Field,US,Heber,
Munday Municipal Airport,US,Munday,
Falconhead Airport,US,Burneyville,
Calico Rock Izard County Airport,US,Calico Rock,
Arapahoe Municipal Airport,US,Arapahoe,AHF
Salem Airpark Inc Airport,US,Salem,
Hemingway Stuckey Airport,US,Hemingway,
Deer Lodge City County Airport,US,Deer Lodge,
Wayne Wonderland Airport,US,Loa,
Princeton Airport,US,Princeton/Rocky Hill,PCT
Cullman Regional Airport-Folsom Field,US,Cullman,
New Tazewell Municipal Airport,US,Tazewell,
Southeast Greensboro Airport,US,Greensboro,
Eutaw Municipal Airport,US,Eutaw,
Dry Bay Airport,US,Yakutat,
Augusta Municipal Airport,US,Augusta,
Southbridge Municipal Airport,US,Southbridge,
Greenville Municipal Airport,US,Greenville,
Littlebrook Air Park,US,Eliot,
Twitchell Airport,US,Turner,
Jack Barstow Airport,US,Midland,
Calverton Executive Airpark,US,Calverton,CTO
Lake in the Hills Airport,US,Chicago/Lake in the Hills,
James Clements Municipal Airport,US,Bay City,
Cable Union Airport,US,Cable,
Downtown Airport,US,Springfield,
Miami Roberts County Airport,US,Miami,
Cisco Municipal Airport,US,Cisco,
C E 'Rusty' Williams Airport,US,Mansfield,
Vivian Airport,US,Vivian,
Dan E Richards Municipal Airport,US,Paducah,
Jones Memorial Airport,US,Bristow,
Mineola Wisener Field,US,Mineola,
Faulkton Municipal Airport,US,Faulkton,
Erie County Airport,US,Wattsburg,
Grygla Municipal Mel Wilkens Field,US,Grygla,
Wadsworth Municipal Airport,US,Wadsworth,
Ashland County Airport,US,Ashland,
Dawson Army Air Field,US,Camp Dawson (Kingwood),
Tri City Airport,US,Sebring,
Grand Haven Memorial Airpark,US,Grand Haven,
East Kansas City Airport,US,Grain Valley,
Hillsboro Municipal Airport,US,Hillsboro,
Hobart Sky Ranch Airport,US,Hobart,
Mason County Airport,US,Point Pleasant,
Sky King Airport,US,Terre Haute,
Richwood Municipal Airport,US,Richwood,
Dayton-Phillipsburg Airport,US,Phillipsburg,
Hampton County Airport,US,Hampton,
Ridgeland-Claude Dean Airport,US,Ridgeland,
Greene County Regional Airport,US,Greensboro,
Freeman Field,US,Junction City,
Syracuse Hamilton County Municipal Airport,US,Syracuse,
St Louis Metro-East Airport/Shafer Field,US,St Jacob,
Mark Hoard Memorial Airport,US,Leoti,
Comanche County Airport,US,Coldwater,
Sky Ranch Airport,US,Sandy Valley,
Litchfield Municipal Airport,US,Litchfield,
Double Springs/Winston County Airport,US,Double Springs,
Collegedale Municipal Airport,US,Collegedale,
Lafayette Municipal Airport,US,Lafayette,
North Pickens Airport,US,Reform,
Warren Municipal Airport,US,Warren,
Mount Hawley Auxiliary Airport,US,Peoria,
Old Bridge Airport,US,Old Bridge,
Gustine Airport,US,Gustine,
Purcell Municipal - Steven E. Shephard field,US,Purcell,
Sayre Municipal Airport,US,Sayre,
Grand Lake Regional Airport,US,Afton,NRI
Mott Municipal Airport,US,Mott,
Le Gros Memorial Airport,US,Crowley,
Hart Airport,US,Many,
Jennings Airport,US,Jennings,
Lakeway Airpark,US,Austin,
Roscommon Conservation Airport,US,Roscommon,
Illinois Valley Airport,US,Cave Junction,
Grants Pass Airport,US,Grants Pass,GTP
Condon State Pauling Field,US,Condon,
St Charles Airport,US,St Charles,
Boyceville Municipal Airport,US,Boyceville,
Fayette Regional Air Center Airport,US,La Grange,
Jerry Tyler Memorial Airport,US,Niles,NLE
Bowman Field,US,Anaconda,
St Labre Mission Airport,US,Ashland,
Benchmark Airport,US,Benchmark,
Big Sandy Airport,US,Big Sandy,
Custer State Park Airport,US,Fairburn,
Fort Collins Downtown Airport,US,Fort Collins,
Belle Creek Airport,US,Belle Creek,
Grand Coulee Dam Airport,US,Electric City,GCD
Eureka Municipal Airport,US,Eureka,
George L Scott Municipal Airport,US,West Union,
Winterset Madison County Airport,US,Winterset,
Anvik Seaplane Base,US,Anvik,
Valle Airport,US,Grand Canyon,VLE
Perry-Foley Airport,US,Perry,FPY
Manila Airport,US,Manila,
Reeves Airport,US,Tallassee,
Floydada Municipal Airport,US,Floydada,
Braceville Airport,US,Newton Falls,
Manti-Ephraim Airport,US,Manti,NTJ
Melbourne Municipal John E Miller Field,US,Melbourne,
Parr Airport,US,Zanesville,
Keystone Airpark,US,Keystone Heights,
Thayer Memorial Airport,US,Thayer,
Poplar Airport,US,Poplar,
Morgan County Airport,US,Morgan,
Jones Airport,US,Benkelman,
Unionville Municipal Airport,US,Unionville,
Montgomery County Airport,US,Star,
Deblois Flight Strip,US,Deblois,
Odessa Municipal Airport,US,Odessa,
Mount Pleasant Airport,US,Mount Pleasant,MSD
Beloit Airport,US,Beloit,
Sky Acres Airport,US,Millbrook,
Salina Gunnison Airport,US,Salina,SBO
Brighton Airport,US,Brighton,
Minneapolis City County Airport,US,Minneapolis,
Hawthorne Field,US,Kountze/Silsbee,
Carrington Municipal Airport,US,Carrington,
Alpine Airport,US,Alpine,
Cherokee County Airport,US,Canton,
Moundridge Municipal Airport,US,Moundridge,
Central Jersey Regional Airport,US,Manville,JVI
Curtis Municipal Airport,US,Curtis,
Cochran Airport,US,Cochran,
Clare Municipal Airport,US,Clare,
Braxton County Airport,US,Sutton,
Ness City Municipal Airport,US,Ness City,
Harlem Airport,US,Harlem,
Gilmer County Airport,US,Ellijay,
Sturgis Municipal Airport,US,Sturgis,
Real County Airport,US,Leakey,
Chemehuevi Valley Airport,US,Chemehuevi Valley,
Berry Hill Airport,US,Stockbridge,
Polk County Airport- Cornelius Moore Field,US,Cedartown,
Searcy County Airport,US,Marshall,
Scottsboro Municipal Word Field,US,Scottsboro,
Henry County Airport,US,Hampton,
Isbell Field,US,Fort Payne,
Ticonderoga Municipal Airport,US,Ticonderoga,
Schroon Lake Airport,US,Schroon Lake,
Robertson Field,US,Plainville,
Albia Municipal Airport,US,Albia,
Abrams Municipal Airport,US,Grand Ledge,
Ellendale Municipal Airport,US,Ellendale,
Panola County Sharpe Field,US,Carthage,
Kizer Field,US,Prescott,
Wilson Airport,US,Stephens,
La Moure Rott Municipal Airport,US,La Moure,
Youngstown Elser Metro Airport,US,Youngstown,
Monroe County Airport,US,Woodsfield,
Hornell Municipal Airport,US,Hornell,
Columbia Airport,US,Columbia Station,
Mingo County Airport,US,Williamson,
Knox County Airport,US,Mount Vernon,
Putnam County Airport,US,Greencastle,
Morrow County Airport,US,Mount Gilead,
Brantley County Airport,US,Nahunta,
Berrien County Airport,US,Nashville,
Quitman Brooks County Airport,US,Quitman,
St Marys Airport,US,St Marys,
Treutlen County Airport,US,Soperton,
Lexington Municipal Airport,US,Lexington,
Bloomfield Municipal Airport,US,Bloomfield,
Carroll County Airport,US,Berryville,
Booneville Municipal Airport,US,Booneville,
Carlisle Municipal Airport,US,Carlisle,
Russellville Logan County Airport,US,Russellville,
Corning Municipal Airport,US,Corning,
Greenwood Lake Airport,US,West Milford,
McCurtain County Regional Airport,US,Idabel,
Cherokee Municipal Airport,US,Cherokee,
Flandreau Municipal Airport,US,Flandreau,
I H Bass Jr Memorial Airport,US,Lumberton,
Jackson Municipal Airport,US,Jackson,
H L Sonny Callahan Airport,US,Fairhope,
Madeline Island Airport,US,La Pointe,
Eunice Airport,US,Eunice,UCE
Dauphin Island Airport,US,Dauphin Island,
Gold Beach Municipal Airport,US,Gold Beach,GOL
Ken Jernstedt Airfield,US,Hood River,
Joseph State Airport,US,Joseph,
Portland Mulino Airport,US,Portland-Mulino,
Reno-Stead Airport,US,Reno,
Kenneth Copeland Airport,US,Fort Worth,
Circle Town County Airport,US,Circle,
Dell Flight Strip,US,Dell,
Rangely Airport,US,Rangely,
Spanish Peaks Airfield,US,Walsenburg,
Northwood Municipal Vince Field,US,Northwood,
Antelope County Airport,US,Neligh,
Wessington Springs Airport,US,Wessington Springs,
Lakes of the North Airport,US,Gaylord,
Cook Airfield Inc Airport,US,Derby,
Iron County Airport,US,Crystal Falls,
Bourland Field,US,Fort Worth,
Kentland Municipal Airport,US,Kentland,KKT
Lockhart Municipal Airport,US,Lockhart,
Hawkinsville Pulaski County Airport,US,Hawkinsville,
Edgeley Municipal Airport,US,Edgeley,
Lake City Municipal CJ Evans Field,US,Lake City,
Madisonville Municipal Airport,US,Madisonville,
Madison Municipal Airport,US,Madison,
Northwest Regional Airport,US,Roanoke,
Lee County Butters Field,US,Bishopville,
Dr. C P Savage Sr. Airport,US,Montezuma,
Robert Lee Airport,US,Robert Lee,
Defuniak Springs Airport,US,Defuniak Springs,
RWJ Airpark,US,Baytown,
Thompson Pass Airport,US,Valdez,
Fernandina Beach Municipal Airport,US,Fernandina Beach,
Oxford Municipal Airport,US,Oxford,
Star City Municipal Airport,US,Star City,
Rushford Municipal Airport - Robert W Bunke Field,US,Rushford,
Wyandot County Airport,US,Upper Sandusky,
Fisher County Airport,US,Rotan/Roby,
East Troy Municipal Airport,US,East Troy,
Troy Airport,US,Troy,
Cecil County Airport,US,Elkton,
Norwalk Huron County Airport,US,Norwalk,
Okolona Municipal-Richard Stovall Field,US,Okolona,
WinonaÃƒÂ¢Ã‚â‚¬Ã‚â€œMontgomery County Airport,US,Winona,
Roosevelt Memorial Airport,US,Warm Springs,
Saratoga County Airport,US,Saratoga Springs,
Napoleon Municipal Airport,US,Napoleon,
Boerne Stage Field,US,San Antonio,
Nary National Shefland Field,US,Nary,
Washburn Municipal Airport,US,Washburn,
Arcadia Bienville Parish Airport,US,Arcadia,
Post Garza County Municipal Airport,US,Post,
Homer Municipal Airport,US,Homer,
Cherry Springs Airport,US,Galeton,
Bluffton Airport,US,Bluffton,
Harvey Municipal Airport,US,Harvey,
Sheridan Airport,US,Sheridan,
Twin City Airport,US,Loris,
Zelmer Memorial Airpark Inc Airport,US,Palmyra,
Lakota Municipal Airport,US,Lakota,
Hartselle-Morgan County Regional Airport,US,Hartselle,
Moultonboro Airport,US,Moultonboro,
Fordyce Municipal Airport,US,Fordyce,
Crystal Lake Airport,US,Decatur,
Gurdon Lowe Field,US,Gurdon,
Marion Crittenden County Airport,US,Marion,
Prentice Airport,US,Prentice,PRW
Casselton Robert Miller Regional Airport,US,Casselton,
Mc Laughlin Municipal Airport,US,Mc Laughlin,
Roy Wilcox Airport,US,Chatom,
Ocean Springs Airport,US,Ocean Springs,
Foley Municipal Airport,US,Foley,
De Quincy Industrial Airpark,US,De Quincy,
Oakridge State Airport,US,Oakridge,
Crescent Lake State Airport,US,Crescent Lake,
Cape Blanco State Airport,US,Denmark,
Valley View Airport,US,Estacada,
DoÃƒÆ’Ã‚Â±a Ana County International Jetport,US,Santa Teresa,
Maverick County Memorial International Airport,US,Eagle Pass,EGP
Dutton Airport,US,Dutton,
Fairfield Airport,US,Fairfield,
Fort Smith Landing Strip,US,Fort Smith,
Shiprock Airstrip,US,Shiprock,
Wilson Creek Airport,US,Wilson Creek,
P K Airpark,US,Raeford,
Triple W Airport,US,Raleigh,
Siler City Municipal Airport,US,Siler City,
Albert J Lindberg Airport,US,Hessel,
Elroy Municipal Airport,US,Elroy,
Seymour Municipal Airport,US,Seymour,
Odell Williamson Municipal Airport,US,Ocean Isle Beach,
Navasota Municipal Airport,US,Navasota,
Camden Municipal Airport,US,Camden,
Boulder City Municipal Airport,US,Boulder City,BLD
Fort Atkinson Municipal Airport,US,Fort Atkinson,
Newton Municipal Airport,US,Newton,
Cottage Grove State Airport,US,Cottage Grove,
Warren Airport,US,Warren,
Christmas Valley Airport,US,Christmas Valley,
Council Grove Municipal Airport,US,Council Grove,
Limington Harmon Airport,US,Limington,
Adams County Legion Field,US,Friendship (Adams),
Stanton Municipal Airport,US,Stanton,
Hermann Municipal Airport,US,Hermann,
Vinland Valley Aerodrome,US,Baldwin City,
Prospect State Airport,US,Prospect,
Dighton Airport,US,Dighton,
Wrens Memorial Airport,US,Wrens,
Boundary County Airport,US,Bonners Ferry,
Robert R Wells Jr Airport,US,Columbus,
Bluff Airport,US,Bluff,
Diamondhead Airport,US,Diamondhead,
Oswego Municipal Airport,US,Oswego,
Fort Deposit Lowndes County Airport,US,Fort Deposit,
Mesquite Airport,US,Mesquite,MFH
Rio Grande City Municipal Airport,US,Rio Grande City,
Garnett Municipal Airport,US,Garnett,
Teague Municipal Airport,US,Teague,
Tallahassee Commercial Airport,US,Tallahassee /Havana/,
Davenport Airport,US,Davenport,
Wamego Municipal Airport,US,Wamego,
Huntington Municipal Airport,US,Huntington,
Butler Municipal Airport,US,Butler,
Griffin Spalding County Airport,US,Griffin,
Johnson County Airport,US,Mountain City,
Skaneateles Aero Drome Airport,US,Skaneateles,
Brooten Municipal Airport,US,Brooten,
Greenville Municipal Airport,US,Greenville,
Barnes County Municipal Airport,US,Valley City,
Iosco County Airport,US,East Tawas,ECA
Wilder Airport,US,Desmet,
Athelone Williams Memorial Airport,US,Davison,
Titusville Airport,US,Titusville,
Wynkoop Airport,US,Mount Vernon,
Barnesville Bradfield Airport,US,Barnesville,
Lebanon Springfield Airport,US,Springfield,
Boone County Airport,US,Lebanon,
Darby Dan Airport,US,Columbus,
Lexington County Airport,US,Pelion,
St George Airport,US,St George,
Saluda County Airport,US,Saluda,
Branhams Airport,US,Darlington,
Creighton Municipal Airport,US,Creighton,
Fairview Municipal Airport,US,Fairview,
Sisters Eagle Air Airport,US,Sisters,
Lisbon Municipal Airport,US,Lisbon,
Logan County Airport,US,Logan,
Wishek Municipal Airport,US,Wishek,
Hazen Municipal Airport,US,Hazen,
Horseshoe Bend Airport,US,Horseshoe Bend,
Lewis County Regional Airport,US,Monticello,
Marianna Lee County Steve Edwards Field,US,Marianna,
Cleveland Municipal Airport,US,Cleveland,
Terrell County Airport,US,Dryden,
Big Timber Airport,US,Big Timber,
Bridger Municipal Airport,US,Bridger,
Florence Municipal Airport,US,Florence,FMU
Woltermann Memorial Airport,US,Columbus,
Ravalli County Airport,US,Hamilton,
Laurel Municipal Airport,US,Laurel,
Hysham Airport,US,Hysham,
Edgemont Municipal Airport,US,Edgemont,
Wall Municipal Airport,US,Wall,
Bison Municipal Airport,US,Bison,
Bois Blanc Airport,US,Bois Blanc Island,
Freddie Jones Field,US,Linden,
Cairo Grady County Airport,US,Cairo,
Lincoln Municipal Airport,US,Lincoln,
Pine Hill Municipal Airport,US,Pine Hill,
Ozark-Blackwell Field,US,Ozark,
Sunbury Airport,US,Sunbury,
Throckmorton Municipal Airport,US,Throckmorton,
Lancaster Municipal Airport,US,Lancaster,
Anacortes Airport,US,Anacortes,OTS
Roosevelt Municipal Airport,US,Roosevelt,ROL
Turner County Airport,US,Ashburn,
Van Zandt County Regional Airport,US,Wills Point,
Marine City Airport,US,Marine City,
Winters Municipal Airport,US,Winters,
Marlette Township Airport,US,Marlette,
Hobby Field,US,Creswell,
San Augustine County Airport,US,San Augustine,
Rankin Airport,US,Maryville,
Philippi Barbour County Regional Airport,US,Philippi,
South Alabama Regional At Bill Benton Field Airport,US,Andalusia/Opp,
Fort Benton Airport,US,Fort Benton,
Greensboro Municipal Airport,US,Greensboro,
Lanett Municipal Airport,US,Lanett,
Foster Field,US,Apple River,
Roanoke Municipal Airport,US,Roanoke,
Stevenson Airport,US,Stevenson,
Avery County Morrison Field,US,Spruce Pine,
Northampton Airport,US,Northampton,
Skylark Airpark,US,Warehouse Point,
Baldwin Municipal Airport,US,Baldwin,
Germack Airport,US,Geneva,
Caddo Mills Municipal Airport,US,Caddo Mills,
Canton Hackney Airport,US,Canton,
Clifton Municipal Isenhower Field,US,Clifton,
Ledgedale Airpark,US,Brockport,
Geauga County Airport,US,Middlefield,
Canton Municipal Airport,US,Canton,CTK
Orleans Airport,US,Orleans,
Ohio County Airport,US,Hartford,
Kenmare Municipal Airport,US,Kenmare,
Martin Field,US,So Sioux City,
Linton Municipal Airport,US,Linton,
Post-Air Airport,US,Indianapolis,
Mc Gehee Municipal Airport,US,Mc Gehee,
Mountain View Wilcox Memorial Field,US,Mountain View,
Bearce Airport,US,Mount Ida,
Osceola Municipal Airport,US,Osceola,
Ozark Franklin County Airport,US,Ozark,
Rector Airport,US,Rector,
Salem Airport,US,Salem,
Corning Painted Post Airport,US,Corning,
Ronan Airport,US,Ronan,
Twin Bridges Airport,US,Twin Bridges,
Independence State Airport,US,Independence,
White Sulphur Springs Airport,US,White Sulphur Springs,
Valier Airport,US,Valier,
Lenhardt Airpark,US,Hubbard,
Seven Springs Airport,US,Seven Springs Borough,
